Displacement (mm),Force (KN)
0.0,0.03522499999999999
0.05,0.0513875
0.1,0.07174999999999998
0.15000000000000002,0.09494999999999999
0.2,0.12115999999999999
0.25,0.14830000000000002
0.30000000000000004,0.17668888888888892
0.35000000000000003,0.20672857142857143
0.4,0.23807142857142857
0.45,0.27036
0.5,0.3039428571428571
0.55,0.33836666666666665
0.6000000000000001,0.3731125
0.65,0.4078285714285714
0.7000000000000001,0.4430125
0.75,0.4782142857142857
0.8,0.5135090909090909
0.8500000000000001,0.5487857142857143
0.9,0.58398
0.9500000000000001,0.6188333333333333
1.0,0.6532285714285714
1.05,0.6873444444444444
1.1,0.7208285714285715
1.1500000000000001,0.7539200000000001
1.2000000000000002,0.7866333333333334
1.25,0.8180125
1.3,0.84956
1.35,0.8738714285714286
1.4000000000000001,0.9023750000000001
1.4500000000000002,0.9322875
1.5,0.96112
1.55,0.9892428571428571
1.6,1.0164333333333333
1.6500000000000001,1.0429272727272727
1.7000000000000002,1.0682500000000001
1.75,1.0934
1.8,1.1180142857142856
1.85,1.139288888888889
1.9000000000000001,1.1551
1.9500000000000002,1.1757857142857144
2.0,1.1975200000000001
2.0500000000000003,1.2130714285714288
2.1,1.231166666666667
2.15,1.174425
2.2,1.116377777777778
2.25,1.1363500000000002
2.3000000000000003,1.1604875000000003
2.35,1.1834500000000001
2.4000000000000004,1.1040333333333332
2.45,1.1249600000000002
2.5,1.1252
2.5500000000000003,1.0785555555555557
2.6,1.084542857142857
2.6500000000000004,1.035657142857143
2.7,1.0365
