Displacement (mm),Force (KN)
0.0,-0.00016666666666666704
0.05,0.03163333333333333
0.1,0.06237142857142858
0.15000000000000002,0.09402000000000003
0.2,0.12637142857142858
0.25,0.15899999999999997
0.30000000000000004,0.19244285714285717
0.35000000000000003,0.2262857142857143
0.4,0.26080909090909093
0.45,0.2956857142857143
0.5,0.33078749999999996
0.55,0.36588750000000003
0.6000000000000001,0.40078571428571436
0.65,0.43596666666666667
0.7000000000000001,0.4707875000000001
0.75,0.5054090909090909
0.8,0.5395142857142857
0.8500000000000001,0.57316
0.9,0.6063
0.9500000000000001,0.6387142857142857
1.0,0.6708666666666666
1.05,0.7021142857142857
1.1,0.7322
1.1500000000000001,0.7620666666666667
1.2000000000000002,0.7908875000000001
1.25,0.8184400000000001
1.3,0.8461714285714286
1.35,0.873
1.4000000000000001,0.8989750000000001
1.4500000000000002,0.9237000000000001
1.5,0.9482285714285714
1.55,0.9721333333333333
1.6,0.99541
1.6500000000000001,1.0143142857142857
1.7000000000000002,1.0364666666666666
1.75,1.0577142857142858
1.8,1.0761222222222222
1.85,1.0876714285714284
1.9000000000000001,1.106775
1.9500000000000002,1.08046
2.0,1.1032285714285712
2.0500000000000003,1.1192666666666666
2.1,1.0732428571428572
2.15,1.0889499999999999
2.2,1.0760125000000003
2.25,1.0227125
2.3000000000000003,1.0480545454545453
2.35,1.0721857142857143
2.4000000000000004,1.0949333333333333
2.45,1.11585
2.5,1.1226777777777779
2.5500000000000003,1.1032285714285714
2.6,1.0928714285714285
2.6500000000000004,1.0992
2.7,1.1145333333333334
2.75,1.13045
2.8000000000000003,0.9751624999999999
2.85,0.97165
2.9000000000000004,0.9888500000000001
2.95,0.9355
3.0,0.866916666666667
3.0500000000000003,0.8588428571428571
3.1,0.8533666666666667
3.1500000000000004,0.84487
3.2,0.8369571428571428
3.25,0.8404
